repo,repo_url,score,stars,pushed,release_asset_count,release_asset_name,release_asset_url,is_extension,distribution,notes
joeirimpan/duckdb-fnv,https://github.com/joeirimpan/duckdb-fnv,9,6,2024-08-26 08:05:44,1,fnv.duckdb_extension,https://github.com/joeirimpan/duckdb-fnv/releases/download/v0.0.1/fnv.duckdb_extension,,,
GraphScope/relgo,https://github.com/GraphScope/relgo,9,5,2025-06-06 09:17:24,0,,,,,
quackscience/duckdb-extension-wvlet,https://github.com/quackscience/duckdb-extension-wvlet,9,5,2025-04-28 00:23:34,0,,,,,
quackscience/duckdb-extension-dht,https://github.com/quackscience/duckdb-extension-dht,9,5,2024-11-13 21:07:36,0,,,,,
bhargav191098/intelligent-duck,https://github.com/bhargav191098/intelligent-duck,9,4,2024-07-14 20:24:34,0,,,,,
cofin/duckdb-oracle,https://github.com/cofin/duckdb-oracle,9,3,2026-02-28 06:14:55,17,oracle-v0.0.2-duckdb-v1.4.1-macos-arm64.duckdb_extension,https://github.com/cofin/duckdb-oracle/releases/download/v0.0.2/oracle-v0.0.2-duckdb-v1.4.1-macos-arm64.duckdb_extension,,,
SummaryDev/ethereum-duckdb-extension,https://github.com/SummaryDev/ethereum-duckdb-extension,9,2,2023-08-19 20:39:32,0,,,,,
sduzh/duckdb-mpp,https://github.com/sduzh/duckdb-mpp,9,2,2025-05-19 11:04:09,0,,,,,
sparrowwallet/duckdb-secp256k1-extension,https://github.com/sparrowwallet/duckdb-secp256k1-extension,9,2,2025-11-04 06:52:00,0,,,,,
gigapi/duckdb-gigapi-extension,https://github.com/gigapi/duckdb-gigapi-extension,9,2,2025-06-29 21:14:01,0,,,,,
vsbuffalo/duckdb-vcfrs-extension,https://github.com/vsbuffalo/duckdb-vcfrs-extension,9,1,2024-12-22 23:41:49,0,,,,,
Hugoberry/duckdb-expat-extension,https://github.com/Hugoberry/duckdb-expat-extension,9,1,2025-10-20 10:57:40,0,,,,,
JP-Reddy/duckdb-robust-predicate-transfer,https://github.com/JP-Reddy/duckdb-robust-predicate-transfer,9,0,2026-02-28 03:11:21,0,,,,,
p-hoffmann/trexsql-ext,https://github.com/p-hoffmann/trexsql-ext,9,0,2026-02-21 10:59:22,0,,,,,
Giangblackk/duckdb-spark,https://github.com/Giangblackk/duckdb-spark,9,0,2026-02-15 19:04:57,0,,,,,
benjamintli/duckdb-embedtext-extension,https://github.com/benjamintli/duckdb-embedtext-extension,9,0,2025-04-27 23:06:11,0,,,,,
abelcha/duckdb-gitql-extension,https://github.com/abelcha/duckdb-gitql-extension,9,0,2025-10-03 22:02:21,0,,,,,
alkimiadev/ladybug,https://github.com/alkimiadev/ladybug,9,0,2026-02-11 11:48:43,0,,,,,
PMayur1911/duckdb-rmi-ext,https://github.com/PMayur1911/duckdb-rmi-ext,9,0,2025-12-15 09:44:09,0,,,,,
Maxxen/duckdb-teradata-old,https://github.com/Maxxen/duckdb-teradata-old,9,0,2025-11-04 11:50:47,0,,,,,
toppyy/duckdb-px,https://github.com/toppyy/duckdb-px,9,0,2026-02-11 10:13:59,0,,,,,
Andrewtangtang/duckdb-table-inspector-origin,https://github.com/Andrewtangtang/duckdb-table-inspector-origin,9,0,2026-02-19 13:39:21,0,,,,,
abelcha/duckdb-ranges,https://github.com/abelcha/duckdb-ranges,9,0,2025-12-10 10:53:19,0,,,,,
apstndb/duckdb-spanner-cxx,https://github.com/apstndb/duckdb-spanner-cxx,9,0,2026-02-28 19:04:21,0,,,,,
maropu/duckdb_extension_example,https://github.com/maropu/duckdb_extension_example,9,0,2025-04-19 09:25:57,0,,,,,
douenergy/duck-read-cache-fs,https://github.com/douenergy/duck-read-cache-fs,9,0,2025-04-19 05:31:45,0,,,,,
ila/duckdp,https://github.com/ila/duckdp,9,0,2025-11-28 09:37:49,0,,,,,
maropu/duckdb_scanner_example,https://github.com/maropu/duckdb_scanner_example,9,0,2025-04-19 09:36:03,0,,,,,
nhungoc1508/mobilityduck,https://github.com/nhungoc1508/mobilityduck,9,0,2025-10-11 20:06:51,0,,,,,
narayanananalytics/duckdb-ui,https://github.com/narayanananalytics/duckdb-ui,9,0,2025-11-18 16:02:48,0,,,,,
LadybugDB/ladybug,https://github.com/LadybugDB/ladybug,8,538,2026-03-01 01:56:56,0,,,,,
mehd-io/duckdb-extension-radar,https://github.com/mehd-io/duckdb-extension-radar,8,110,2026-03-01 00:17:08,0,,,,,
sidequery/sidemantic,https://github.com/sidequery/sidemantic,8,67,2026-02-25 15:39:02,0,,,,,
